t(s),Flux surface 1: solute,Flux surface 2: solute
100.0,227122884725900.9,-11985687.21496765
220.0,109330150887420.39,-240599052.31510043
364.0,78157788920072.97,-2233527412.018666
536.8,61994327640683.17,-12940004618.860027
744.16,51561783588328.71,-53261754409.1034
992.992,44050816528530.68,-168059633364.386
1291.5904,38280206813582.36,-428167779223.08966
1649.90848,33654043302628.363,-915485995982.7128
2079.890176,29834578606735.902,-1693400062208.097
2595.8682111999997,26615328971546.87,-2777316664115.668
3215.0418534399996,23865293486353.277,-4121642535137.2495
3958.050224127999,21502578548296.066,-5629142504065.55
4849.660268953599,19480327045029.637,-7176146902294.964
5919.592322744319,17776143898383.836,-8641488504463.747
7203.510787293182,16380726601200.217,-9929308444310.51
8744.212944751818,15285480441500.654,-10981455235114.094
10593.055533702181,14471990131361.064,-11779710150311.344
12811.666640442618,13906873260454.79,-12340107141651.2
15473.999968531141,13543566719290.48,-12702140381105.12
18668.799962237368,13329500225990.209,-12915909477222.14
22502.559954684843,13214939523198.838,-13030410354925.53
27103.07194562181,13159729845557.361,-13085609715523.535
32623.68633474617,13135964040021.836,-13109374001999.594
39248.4236016954,13126896252705.957,-13118441599038.006
47198.10832203448,13123851708512.463,-13121486123018.455
56737.72998644138,13122958189277.531,-13122379640437.805
68185.27598372966,13122730376346.53,-13122607453231.19
81922.3311804756,13122680196461.922,-13122657633106.412
98406.79741657071,13122670694932.193,-13122667134635.03
118188.15689988485,13122669155181.7,-13122668674385.307
141925.78827986182,13122669155181.7,-13122668674385.307
170410.94593583417,13122669155181.7,-13122668674385.307
204593.135123001,13122669155181.7,-13122668674385.307
245611.7621476012,13122669155181.7,-13122668674385.307
294834.11457712145,13122669155181.7,-13122668674385.307
353900.9374925457,13122669155181.7,-13122668674385.307
424781.1249910548,13122669155181.7,-13122668674385.307
509837.3499892658,13122669155181.7,-13122668674385.307
611904.819987119,13122669155181.7,-13122668674385.307
734385.7839845427,13122669155181.7,-13122668674385.307
881362.9407814512,13122669155181.7,-13122668674385.307
1057735.5289377414,13122669155181.7,-13122668674385.307
